year;month;m;temperature
2001;2;feb;2.3
2001;3;mar;4.2
2001;4;apr;7.1
2001;5;mai;14.4
2001;6;jun;14.3
2001;7;jul;18.6
2001;8;aug;18.6
2001;9;sep;11.8
2001;10;oct;12.48
2001;11;nov;3.8
2001;12;dec;-0.2
2002;1;jan;1.2
2002;2;feb;5
2002;3;mar;5.4
2002;4;apr;8.1
2002;5;mai;13.8
2002;6;jun;17.4
2002;7;jul;17.7
2002;8;aug;18.8
2002;9;sep;13.1
2002;10;oct;8.3
2002;11;nov;5.6
2002;12;dec;0.3
2003;1;jan;-0.3
2003;2;feb;-1.9
2003;3;mar;5.3
2003;4;apr;8.5
2003;5;mai;14.1
2003;6;jun;19.35
2003;7;jul;19.1
2003;8;aug;20.6
2003;9;sep;13.8
2003;10;oct;5.9
2003;11;nov;6
2003;12;dec;1.8
2004;1;jan;-0.1
2004;2;feb;2.4
2004;3;mar;4.1
2004;4;apr;9.3
2004;5;mai;11.6
2004;6;jun;15.3
2004;7;jul;16.8
2004;8;aug;18.4
2004;9;sep;14
2004;10;oct;10.1
2004;11;nov;4.2
2004;12;dec;1.1
2005;1;jan;2
2005;2;feb;-1
2005;3;mar;3.6
2005;4;apr;9.3
2005;5;mai;12.8
2005;6;jun;16.4
2005;7;jul;18
2005;8;aug;15.8
2005;9;sep;15
2005;10;oct;11
2005;11;nov;4.2
2005;12;dec;0.9
2006;1;jan;-2.6
2006;2;feb;-0.4
2006;3;mar;1.5
2006;4;apr;8
2006;5;mai;13.1
2006;6;jun;16.8
2006;7;jul;21.99
2006;8;aug;15.5
2006;9;sep;16.9
2006;10;oct;12.1
2006;11;nov;7
2006;12;dec;4.4
2007;1;jan;4.76
2007;2;feb;3.9
2007;3;mar;6.2
2007;4;apr;11.5
2007;5;mai;14.2
2007;6;jun;17.4
2007;7;jul;17.2
2007;8;aug;16.9
2007;9;sep;12.6
2007;10;oct;8.3
2007;11;nov;3.7
2007;12;dec;1.6
2008;1;jan;3.6
2008;2;feb;3.7
2008;3;mar;4.2
2008;4;apr;7.6
2008;5;mai;14.5
2008;6;jun;16.9
2008;7;jul;18
2008;8;aug;17.4
2008;9;sep;12.4
2008;10;oct;9.1
2008;11;nov;5.1
2008;12;dec;1.1
2009;1;jan;-2.2
2009;2;feb;0.5
2009;3;mar;4.3
2009;4;apr;11.8
2009;5;mai;13.6
2009;6;jun;14.8
2009;7;jul;18
2009;8;aug;18.7
2009;9;sep;14.7
2009;10;oct;8.2
2009;11;nov;7.4
2009;12;dec;0.3
2010;1;jan;-3.6
2010;2;feb;-0.5
2010;3;mar;4.2
2010;4;apr;8.7
2010;5;mai;10.4
2010;6;jun;16.3
2010;7;jul;20.3
2010;8;aug;16.7
2010;9;sep;12.4
2010;10;oct;8.1
2010;11;nov;4.8
2010;12;dec;-3.7
2011;1;jan;1
2011;2;feb;0.9
2011;3;mar;4.9
2011;4;apr;11.6
2011;5;mai;13.9
2011;6;jun;16.5
2011;7;jul;16.1
2011;8;aug;17.7
2011;9;sep;15.2
2011;10;oct;9.4
2011;11;nov;4.5
2011;12;dec;3.9
2012;1;jan;1.9
2012;2;feb;-2.5
2012;3;mar;6.9
2012;4;apr;8.1
2012;5;mai;14.2
2012;6;jun;15.5
2012;7;jul;17.4
2012;8;aug;18.4
2012;9;sep;13.6
2012;10;oct;8.7
2012;11;nov;5.2
2012;12;dec;1.5
2013;1;jan;0.2
2013;2;feb;-0.7
2013;3;mar;0.1
2013;4;apr;8.1
2013;5;mai;11.8
2013;6;jun;15.7
2013;7;jul;19.5
2013;8;aug;17.9
2013;9;sep;13.3
2013;10;oct;10.6
2013;11;nov;4.6
2013;12;dec;3.6
2014;1;jan;2.1
2014;2;feb;4.3
2014;3;mar;6.9
2014;4;apr;10.8
2014;5;mai;12.4
2014;6;jun;16.1
2014;7;jul;19.3
2014;8;aug;16
2014;9;sep;14.9
2014;10;oct;11.9
2014;11;nov;6.5
2014;12;dec;2.7
2015;1;jan;2.2
2015;2;feb;0.7
2015;3;mar;5.2
2015;4;apr;8.4
2015;5;mai;12.3
2015;6;jun;15.8
2015;7;jul;19.4
2015;8;aug;19.9
2015;9;sep;13
2015;10;oct;8.4
2015;11;nov;7.5
2015;12;dec;6.5
2016;1;jan;1
2016;2;feb;3.3
2016;3;mar;4
2016;4;apr;7.9
2016;5;mai;13.7
2016;6;jun;17
2016;7;jul;18.6
2016;8;aug;17.7
2016;9;sep;16.9
2016;10;oct;8.5
2016;11;nov;3.8
2016;12;dec;2.2
2017;1;jan;-2.2
2017;2;feb;2.9
2017;3;mar;7.2
2017;4;apr;7.4
2017;5;mai;14.1
2017;6;jun;17.8
2017;7;jul;18.1
2017;8;aug;17.9
2017;9;sep;12.8
2017;10;oct;11.1
2017;11;nov;5.1
2017;12;dec;2.7
2018;1;jan;3.7
2018;2;feb;-1.9
2018;3;mar;2.4
2018;4;apr;12.3
2018;5;mai;16
2018;6;jun;17.7
2018;7;jul;20.3
2018;8;aug;19.9
2018;9;sep;15.1
2018;10;oct;10.7
2018;11;nov;5.2
2018;12;dec;3.9
