year,month,time,ts,m,temperature
1771,4,1771-4-15 00:00:00,1771.2916666666667,apr,3.5
1771,5,1771-5-15 00:00:00,1771.375,may,14.2
1771,6,1771-6-15 00:00:00,1771.4583333333333,jun,15
1771,7,1771-7-15 00:00:00,1771.5416666666667,jul,16.4
1771,8,1771-8-15 00:00:00,1771.625,aug,15
1771,9,1771-9-15 00:00:00,1771.7083333333333,sep,12.8
1771,10,1771-10-15 00:00:00,1771.7916666666667,oct,8.6
1771,11,1771-11-15 00:00:00,1771.875,nov,1.8
1771,12,1771-12-15 00:00:00,1771.9583333333333,dec,1.4
1772,1,1772-1-15 00:00:00,1772.0416666666667,jan,-1.8
1772,2,1772-2-15 00:00:00,1772.125,feb,0.8
1772,3,1772-3-15 00:00:00,1772.2083333333333,mar,3.6
1772,4,1772-4-15 00:00:00,1772.2916666666667,apr,6.2
1772,5,1772-5-15 00:00:00,1772.375,may,10
1772,6,1772-6-15 00:00:00,1772.4583333333333,jun,16.8
1772,7,1772-7-15 00:00:00,1772.5416666666667,jul,16.5
1772,8,1772-8-15 00:00:00,1772.625,aug,16.4
1772,9,1772-9-15 00:00:00,1772.7083333333333,sep,14.2
1772,10,1772-10-15 00:00:00,1772.7916666666667,oct,10.6
1772,11,1772-11-15 00:00:00,1772.875,nov,5.5
1772,12,1772-12-15 00:00:00,1772.9583333333333,dec,1
1773,1,1773-1-15 00:00:00,1773.0416666666667,jan,1.1
1773,2,1773-2-15 00:00:00,1773.125,feb,-2.2
1773,3,1773-3-15 00:00:00,1773.2083333333333,mar,2.5
1773,4,1773-4-15 00:00:00,1773.2916666666667,apr,7.4
1773,5,1773-5-15 00:00:00,1773.375,may,12.7
1773,6,1773-6-15 00:00:00,1773.4583333333333,jun,15
1773,7,1773-7-15 00:00:00,1773.5416666666667,jul,15.9
1773,8,1773-8-15 00:00:00,1773.625,aug,16.9
1773,9,1773-9-15 00:00:00,1773.7083333333333,sep,13.7
1773,10,1773-10-15 00:00:00,1773.7916666666667,oct,9.9
1773,11,1773-11-15 00:00:00,1773.875,nov,3.7
1773,12,1773-12-15 00:00:00,1773.9583333333333,dec,2.2
1774,1,1774-1-15 00:00:00,1774.0416666666667,jan,-1.4
1774,2,1774-2-15 00:00:00,1774.125,feb,0.9
1774,3,1774-3-15 00:00:00,1774.2083333333333,mar,5.1
1774,4,1774-4-15 00:00:00,1774.2916666666667,apr,8.8
1774,5,1774-5-15 00:00:00,1774.375,may,12.1
1774,6,1774-6-15 00:00:00,1774.4583333333333,jun,16.3
1774,7,1774-7-15 00:00:00,1774.5416666666667,jul,16.3
1774,8,1774-8-15 00:00:00,1774.625,aug,16.7
1774,9,1774-9-15 00:00:00,1774.7083333333333,sep,11.9
1774,10,1774-10-15 00:00:00,1774.7916666666667,oct,8
1774,11,1774-11-15 00:00:00,1774.875,nov,-0.6
1774,12,1774-12-15 00:00:00,1774.9583333333333,dec,-2.2
1775,1,1775-1-15 00:00:00,1775.0416666666667,jan,-1.4
1775,2,1775-2-15 00:00:00,1775.125,feb,2.9
1775,3,1775-3-15 00:00:00,1775.2083333333333,mar,4.2
1775,4,1775-4-15 00:00:00,1775.2916666666667,apr,6.3
1775,5,1775-5-15 00:00:00,1775.375,may,10.6
1775,6,1775-6-15 00:00:00,1775.4583333333333,jun,17.6
1775,7,1775-7-15 00:00:00,1775.5416666666667,jul,17.3
1775,8,1775-8-15 00:00:00,1775.625,aug,17.8
1775,9,1775-9-15 00:00:00,1775.7083333333333,sep,14.7
1775,10,1775-10-15 00:00:00,1775.7916666666667,oct,8.8
1775,11,1775-11-15 00:00:00,1775.875,nov,2
1775,12,1775-12-15 00:00:00,1775.9583333333333,dec,-0.3
1776,1,1776-1-15 00:00:00,1776.0416666666667,jan,-7.9
1776,2,1776-2-15 00:00:00,1776.125,feb,1.3
1776,3,1776-3-15 00:00:00,1776.2083333333333,mar,4
1776,4,1776-4-15 00:00:00,1776.2916666666667,apr,7.1
1776,5,1776-5-15 00:00:00,1776.375,may,10.1
1776,6,1776-6-15 00:00:00,1776.4583333333333,jun,15.5
1776,7,1776-7-15 00:00:00,1776.5416666666667,jul,17.5
1776,8,1776-8-15 00:00:00,1776.625,aug,16.7
1776,9,1776-9-15 00:00:00,1776.7083333333333,sep,12.2
1776,10,1776-10-15 00:00:00,1776.7916666666667,oct,7.5
1776,11,1776-11-15 00:00:00,1776.875,nov,2.5
1776,12,1776-12-15 00:00:00,1776.9583333333333,dec,-1.4
1777,1,1777-1-15 00:00:00,1777.0416666666667,jan,-3.1
1777,2,1777-2-15 00:00:00,1777.125,feb,-2.6
1777,3,1777-3-15 00:00:00,1777.2083333333333,mar,3.3
1777,4,1777-4-15 00:00:00,1777.2916666666667,apr,5.1
1777,5,1777-5-15 00:00:00,1777.375,may,12
1777,6,1777-6-15 00:00:00,1777.4583333333333,jun,14.7
1777,7,1777-7-15 00:00:00,1777.5416666666667,jul,15.7
1777,8,1777-8-15 00:00:00,1777.625,aug,16.8
1777,9,1777-9-15 00:00:00,1777.7083333333333,sep,12.3
1777,10,1777-10-15 00:00:00,1777.7916666666667,oct,8.3
1777,11,1777-11-15 00:00:00,1777.875,nov,4.3
1777,12,1777-12-15 00:00:00,1777.9583333333333,dec,-1.3
1778,1,1778-1-15 00:00:00,1778.0416666666667,jan,-1.6
1778,2,1778-2-15 00:00:00,1778.125,feb,-1.9
1778,3,1778-3-15 00:00:00,1778.2083333333333,mar,2.8
1778,4,1778-4-15 00:00:00,1778.2916666666667,apr,9
1778,5,1778-5-15 00:00:00,1778.375,may,13
1778,6,1778-6-15 00:00:00,1778.4583333333333,jun,15.8
1778,7,1778-7-15 00:00:00,1778.5416666666667,jul,19
1778,8,1778-8-15 00:00:00,1778.625,aug,17.7
1778,9,1778-9-15 00:00:00,1778.7083333333333,sep,11.7
1778,10,1778-10-15 00:00:00,1778.7916666666667,oct,6.9
1778,11,1778-11-15 00:00:00,1778.875,nov,4.4
1778,12,1778-12-15 00:00:00,1778.9583333333333,dec,3.7
1779,1,1779-1-15 00:00:00,1779.0416666666667,jan,-3.9
1779,2,1779-2-15 00:00:00,1779.125,feb,2.8
1779,3,1779-3-15 00:00:00,1779.2083333333333,mar,4.8
1779,4,1779-4-15 00:00:00,1779.2916666666667,apr,10
1779,5,1779-5-15 00:00:00,1779.375,may,13.5
1779,6,1779-6-15 00:00:00,1779.4583333333333,jun,14.8
1779,7,1779-7-15 00:00:00,1779.5416666666667,jul,16.9
1779,8,1779-8-15 00:00:00,1779.625,aug,17.9
1779,9,1779-9-15 00:00:00,1779.7083333333333,sep,14.8
