year,jan,feb,mar,apr,mai,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,avg
1861,-5.4,2.4,4.2,5.5,9.9,17,16.9,17.6,12.9,9.5,3.4,-0.5,-1.533333333,6.533333333,17.16666667,8.6,7.783333333
1862,-1.8,0,5.4,9.2,14,14.6,16.2,15.8,13.6,9.9,2.7,0.4,-0.766666667,9.533333333,15.53333333,8.733333333,8.333333333
1863,2.3,1.9,4.2,7.7,12.2,15.5,15.7,17.7,12.4,10.2,3.8,2.2,1.533333333,8.033333333,16.3,8.8,8.816666667
1864,-5.5,-1.2,4,5.5,9.9,14.8,15.3,14,12.3,7,2.1,-3.4,-1.5,6.466666667,14.7,7.133333333,6.233333333
1865,-0.3,-3.9,-0.9,9.8,15.2,14.1,18.7,15.7,14.5,8.8,4.7,-0.1,-2.533333333,8.033333333,16.16666667,9.333333333,8.025
1866,2.5,3.2,2.6,8.8,9.3,17.6,15.7,14.5,14,7.2,3.9,1.1,1.866666667,6.9,15.93333333,8.366666667,8.366666667
1867,-1.1,4,1.4,7.5,11.3,15.1,15.1,17,13.7,7.5,2,-1.7,1.333333333,6.733333333,15.73333333,7.733333333,7.65
1868,-2,2.8,3.4,6.7,15.8,17,18.2,17.9,14.8,8.6,1.9,4.2,-0.3,8.633333333,17.7,8.433333333,9.108333333
1869,-1.1,4.4,1,9.6,12.6,12.9,18.1,15,13.9,6.6,3.4,-0.5,2.5,7.733333333,15.33333333,7.966666667,7.991666667
1870,-0.3,-4.4,1,7.4,12.5,15.1,17.9,15,11.5,7.9,4.1,-4.5,-1.733333333,6.966666667,16,7.833333333,6.933333333
1871,-5.1,-0.8,4.3,6.8,9.4,12.7,16.8,17.1,13.4,5.9,0.7,-4.8,-3.466666667,6.833333333,15.53333333,6.666666667,6.366666667
1872,-0.1,1.2,4.8,8.5,12.3,15.3,18.1,15.4,13.7,9.4,5.7,2.5,-1.233333333,8.533333333,16.26666667,9.6,8.9
1873,1.9,-0.6,4.6,6.4,9.7,15.7,18.3,17.7,12,9.4,4.2,1,1.266666667,6.9,17.23333333,8.533333333,8.358333333
1874,0.9,0.1,3.2,9.1,8.9,15.5,19.1,15,14.7,9.2,1.5,-1.6,0.666666667,7.066666667,16.53333333,8.466666667,7.966666667
1875,1.1,-3.9,0.4,6.8,12.9,16.9,16.6,17.9,13.4,6.4,2.4,-2,-1.466666667,6.7,17.13333333,7.4,7.408333333
1876,-3.5,0.7,3.8,8.3,8.6,15.8,17.4,17.1,11.9,10.1,1.2,1.9,-1.6,6.9,16.76666667,7.733333333,7.775
1877,2.1,2.7,2,6,9.4,17.7,16.5,17.2,10.5,6.9,5.4,0.4,2.233333333,5.8,17.13333333,7.6,8.066666667
1878,-0.5,2.2,2.9,8.4,12.3,15.4,15.7,16.4,13.7,9.3,2.9,-1.7,0.7,7.866666667,15.83333333,8.633333333,8.083333333
1879,-2.7,0.3,1.9,5.6,9.5,15.7,14.4,16.9,13.5,7.7,0.7,-7.2,-1.366666667,5.666666667,15.66666667,7.3,6.358333333
1880,-2.8,0.2,3.9,8.3,10.7,14.7,17.4,16.2,13.7,7.5,3.9,3.9,-3.266666667,7.633333333,16.1,8.366666667,8.133333333
1881,-5.4,-0.1,2.6,5.5,11.8,15.1,18.6,15.9,12.1,5,5.7,0.9,-0.533333333,6.633333333,16.53333333,7.6,7.308333333
1882,0.4,1.5,6,7.7,12,14.3,16.8,14.9,13.1,8.9,3.9,0.6,0.933333333,8.566666667,15.33333333,8.633333333,8.341666667
1883,-0.3,2.3,-1.66,6.1,12.4,16.2,16.7,15.9,13.4,8.5,4.3,0.8,0.866666667,5.613333333,16.26666667,8.733333333,7.886666667
1884,2.9,2.7,4.7,6.1,12.7,13.1,18.2,17,14.2,7.9,1.7,1.7,2.133333333,7.833333333,16.1,7.933333333,8.575
1885,-2.8,3,2.5,9.2,10,16.7,17.3,14.6,12.7,7.4,2.7,-0.3,0.633333333,7.233333333,16.2,7.6,7.75
1886,-1.3,-2.9,0.4,8.7,12.7,14.3,16.8,16.9,15.1,9.5,5.1,0.8,-1.5,7.266666667,16,9.9,8.008333333
1887,-3.7,-0.8,1.1,7.1,10,15.5,18.7,15.7,12.2,5.5,3.1,-0.8,-1.233333333,6.066666667,16.63333333,6.933333333,6.966666667
1888,-1.9,-2.6,0.7,5.7,12.1,15.8,14.7,15,12.5,6.4,3.3,0.6,-1.766666667,6.166666667,15.16666667,7.4,6.858333333
1889,-2.4,-2.6,0.3,6.9,15.78,18.6,16.3,15.3,11.1,8,2.7,-1.6,-1.466666667,7.66,16.73333333,7.266666667,7.365
1890,2,-2.6,4.1,6.8,13.6,13.9,15.4,16.5,13.1,7.2,2.9,-5.3,-0.733333333,8.166666667,15.26666667,7.733333333,7.3
1891,-4.5,-0.6,2.6,5.1,12.6,14.7,16.2,15,13.8,9.9,2.7,1.7,-3.466666667,6.766666667,15.3,8.8,7.433333333
1892,-1.8,0.5,0.5,7,12.2,15.1,16,18.1,13.8,7.4,3,-1.9,0.133333333,6.566666667,16.4,8.066666667,7.491666667
1893,-7.3,1.8,4.3,8.8,12.2,15.8,17.4,17,12.4,9.8,2.2,0.3,-2.466666667,8.433333333,16.73333333,8.133333333,7.891666667
1894,-1.8,1.6,4.7,9.9,11.3,14.2,17.8,15.4,11,8,4.9,0.5,0.033333333,8.633333333,15.8,7.966666667,8.125
1895,-4,-6.8,1.4,8.6,12.2,15.7,17.2,16.5,15.2,7.1,4.8,-0.1,-3.433333333,7.4,16.46666667,9.033333333,7.316666667
1896,-0.8,-0.2,5.3,5.9,10.7,16.7,17,14.3,12.7,8.6,1.2,-0.5,-0.366666667,7.3,16,7.5,7.575
1897,-2.9,1.1,5,7.2,10.6,17,16.5,17.1,12.3,7.3,2.8,1.3,-0.766666667,7.6,16.86666667,7.466666667,7.941666667
1898,2.3,1.1,2.9,7.3,11.3,14.8,14.4,18,13.6,8.9,4.7,3,1.566666667,7.166666667,15.73333333,9.066666667,8.525
1899,2.1,2,2.6,7.1,11.1,14.7,17.3,16.8,12.5,7.8,6.4,-3.3,2.366666667,6.933333333,16.26666667,8.9,8.091666667
1900,0.7,1.1,0.6,6.5,10.8,15.9,18.4,16.2,13.8,8.6,4.7,2.8,-0.5,5.966666667,16.83333333,9.033333333,8.341666667
1901,-3.7,-4.1,2.1,8,12.8,15.6,18.5,16.4,13.4,9.1,2.7,0.9,-1.666666667,7.633333333,16.83333333,8.4,7.641666667
1902,2.8,-1.2,3.4,7.8,8.61,15.3,15.8,14.7,12,7.1,1.6,-1.8,0.833333333,6.603333333,15.26666667,6.9,7.175833333
1903,0.3,3.6,5.7,4.6,12.6,14.8,16.2,15.4,13.5,9.6,4.4,-0.8,0.7,7.633333333,15.46666667,9.166666667,8.325
1904,-1.3,1.1,3,8.8,12.3,15.2,18.7,16.5,11.9,8.3,3.3,2.4,-0.333333333,8.033333333,16.8,7.833333333,8.35
1905,-1.8,1.3,4.5,5.9,12.1,17,18.6,16.5,12.8,4.46,3.1,1,0.633333333,7.5,17.36666667,6.786666667,7.955
1906,1,0.3,2.2,8,13.1,14.7,17.2,16.5,12.5,9.8,6.3,-2.2,0.766666667,7.766666667,16.13333333,9.533333333,8.283333333
1907,-0.3,-1.5,2.6,6.1,12.9,14.6,14.5,15.7,13.1,11.2,3.3,1.5,-1.333333333,7.2,14.93333333,9.2,7.808333333
1908,-2.2,1.2,2.3,5.4,13.2,17,17.2,14.5,12.1,8.1,1.5,-0.5,0.166666667,6.966666667,16.23333333,7.233333333,7.483333333
1909,-1.6,-2.5,1.5,7.8,10.9,14.1,15,16.2,12.7,10.2,2,1.9,-1.533333333,6.733333333,15.1,8.3,7.35
1910,1.4,2.4,3.7,7.3,12.3,16.5,15.5,15.8,12,9.1,2.2,2.6,1.9,7.766666667,15.93333333,7.766666667,8.4
1911,-1.1,1.3,4,7.2,13.1,14.9,19.1,19.4,14.4,8.5,4.7,3,0.933333333,8.1,17.8,9.2,9.041666667
1912,-1.5,2.3,6,6.9,11.9,15.6,17.9,13.97,9.08,6.5,2.6,3.1,1.266666667,8.266666667,15.82333333,6.06,7.8625
1913,-0.2,1.3,6,7.8,12.4,14.8,14.6,14.8,12.6,9.5,6.8,2,1.4,8.733333333,14.73333333,9.633333333,8.533333333
1914,-3,3.1,4.7,9.8,10.9,14.6,17.6,17.2,12.4,8.2,3.4,3.5,0.7,8.466666667,16.46666667,8,8.533333333
1915,0.2,0.9,1.7,6.9,13.1,17.5,16.2,15.2,11.8,6.4,1.5,3.5,1.533333333,7.233333333,16.3,6.566666667,7.908333333
1916,3.8,0.8,3.9,8.2,13.1,12.8,16,15.9,12,8.5,4.5,1.8,2.7,8.4,14.9,8.333333333,8.441666667
1917,-2.6,-3.8,0,4.33,15,18.8,17.3,16.7,14.5,7.2,5.1,-2.1,-1.533333333,6.443333333,17.6,8.933333333,7.535833333
