year,jan,feb,mar,apr,mai,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,avg
1918,0.7,1.7,4,9,14,13,16.5,15.9,12.9,7.9,3,3.9,0.1,9,15.13333333,7.933333333,8.541666667
1919,0.7,-0.5,3,5.5,11.6,15,14.36,16.1,14.7,6,0.5,0.8,1.366666667,6.7,15.15333333,7.066666667,7.313333333
1920,2.3,3,6.1,9.4,13.8,14.9,17.4,15,13,6.9,1.2,0.6,2.033333333,9.766666667,15.76666667,7.033333333,8.633333333
1921,4.2,1.2,5.6,7.8,14,14.4,18.7,17.2,13.4,11,-0.18,0.5,2,9.133333333,16.76666667,8.073333333,8.985
1922,-2.7,-1.3,3.5,5.5,13.6,15.7,15.7,15.4,11.2,5,2.5,2.2,-1.166666667,7.533333333,15.6,6.233333333,7.191666667
1923,1.5,1,4.9,6.8,11.4,11.19,18.6,15.7,13.1,10.3,2.9,-1.7,1.566666667,7.7,15.16333333,8.766666667,7.974166667
1924,-2.9,-2.6,2.2,6.3,13.7,15.1,16.7,14.5,13.6,9.4,3,1.5,-2.4,7.4,15.43333333,8.666666667,7.541666667
1925,2.5,3.6,1.3,8.2,13.9,15,17.9,16.5,11,8.5,2,-0.4,2.533333333,7.8,16.46666667,7.166666667,8.333333333
1926,0,4.4,4,9.7,10.7,13.8,17.4,16,14.6,7.8,6,0.5,1.333333333,8.133333333,15.73333333,9.466666667,8.741666667
1927,1.8,0.9,5.9,7.1,10.9,14.1,17.3,16.4,13.5,8.5,2.7,-2.6,1.066666667,7.966666667,15.93333333,8.233333333,8.041666667
1928,1.6,2.5,2.9,7.5,10.1,14.1,18.3,16.2,12.5,8.6,6.2,-0.3,0.5,6.833333333,16.2,9.1,8.35
1929,-4.7,-9.6,2.6,4.5,13.1,14.5,17.5,17.1,15.5,9.7,4.7,3.5,-4.866666667,6.733333333,16.36666667,9.966666667,7.366666667
1930,2.3,-0.2,4.2,8.3,11.6,18.2,16.3,15.9,13.2,8.7,5.9,0.6,1.866666667,8.033333333,16.8,9.266666667,8.75
1931,0.2,-1.2,0.2,5.8,15.1,16.1,16.8,15.4,10.2,7.3,4.6,0.1,-0.133333333,7.033333333,16.1,7.366666667,7.55
1932,1.8,-1.9,0.8,7,12.5,14.6,17.9,18.7,15,8.5,4.2,0.8,7.40149E-17,6.766666667,17.06666667,9.233333333,8.325
1933,-2.6,0.1,5.1,7,11.5,14.3,18.1,16.9,13.5,8.8,2.5,-3.9,-0.566666667,7.866666667,16.43333333,8.266666667,7.608333333
1934,0.4,1.2,4.1,10.3,13.3,16.4,18.3,16.4,15.6,9.6,4.1,4.8,-0.766666667,9.233333333,17.03333333,9.766666667,9.541666667
1935,-0.8,1.9,2.7,7.3,10.5,17.2,17.8,16.6,13.7,8.6,5.2,0.4,1.966666667,6.833333333,17.2,9.166666667,8.425
1936,3.1,0.2,5,6.2,12.3,16.2,16.8,16.2,13,6.4,3.8,1.5,1.233333333,7.833333333,16.4,7.733333333,8.391666667
1937,-0.8,2.2,2.9,8,14.7,16.3,17.1,17.1,13.3,9.4,3.3,-0.5,0.966666667,8.533333333,16.83333333,8.666666667,8.583333333
1938,1.7,0.9,6.9,5,10.7,16,16.7,17.7,13.8,8.7,7,-1.9,0.7,7.533333333,16.8,9.833333333,8.6
1939,2.6,1.6,1.7,8.6,10.5,16.3,17,17.5,13.4,6.5,5.5,-1.6,0.766666667,6.933333333,16.93333333,8.466666667,8.3
1940,-9,-4.3,2.7,7.9,12.2,16.7,16.2,14.5,12.4,7.6,5.4,-2.8,-4.966666667,7.6,15.8,8.466666667,6.625
1941,-5.4,-0.2,3.2,5.5,9.2,16.3,18.5,15,12.3,8,2,1.5,-2.8,5.966666667,16.6,7.433333333,7.158333333
1942,-7.9,-5.4,1.4,7.5,12.1,14.4,16.1,17.6,15.1,11.1,3.3,2.1,-3.933333333,7,16.03333333,9.833333333,7.283333333
1943,-0.4,2.9,5.6,9.3,12.8,14.4,17.7,17.9,13.8,9.9,2.7,0.2,1.533333333,9.233333333,16.66666667,8.8,8.9
1944,3.1,-1.1,0.9,8.6,11.6,14.2,17.4,19.6,12.8,8.6,4.1,-0.4,0.733333333,7.033333333,17.06666667,8.5,8.283333333
1945,-4,4,6,8.8,14,16.6,17.9,16.2,13.8,9.7,3.6,1.3,-0.133333333,9.6,16.9,9.033333333,8.991666667
1946,-1.8,2.4,3.7,10.2,13.9,14.7,18.4,16.2,14.1,7,4,-2.3,0.633333333,9.266666667,16.43333333,8.366666667,8.375
1947,-4.7,-6.6,2.6,9.4,14.7,17.9,18.9,18.9,16.8,7.7,5.2,1.4,-4.533333333,8.9,18.56666667,9.9,8.516666667
1948,3.1,0.5,5.7,10,13.6,15.6,16.2,16.4,13.8,8.7,4.2,0.9,1.666666667,9.766666667,16.06666667,8.9,9.058333333
1949,1.2,1.7,2,10.3,12.2,14.1,17.6,17,16.3,10.6,3.7,3,1.266666667,8.166666667,16.23333333,10.2,9.141666667
1950,-1,2.9,4.8,6.7,13.8,17.6,18,17.5,12.9,7.8,4.3,-2,1.633333333,8.433333333,17.7,8.333333333,8.608333333
1951,1.5,1.8,2.2,7.3,11.5,15.3,17.1,17.2,14.5,7.3,6.5,2.5,0.433333333,7,16.53333333,9.433333333,8.725
1952,0.2,-0.1,2.6,10.3,12.3,15.2,18.3,17.8,10.5,7.2,1.6,-0.5,0.866666667,8.4,17.1,6.433333333,7.95
1953,-0.8,-0.1,4.8,9,13.2,16.1,17.4,16.4,13.5,10.4,4.8,2.5,-0.466666667,9,16.63333333,9.566666667,8.933333333
1954,-3.2,-3.5,4.3,5.8,12.2,16,14.4,15.7,13.5,9.9,4,3.2,-1.4,7.433333333,15.36666667,9.133333333,7.691666667
1955,-1.7,-1.9,0.4,6.9,10.3,14.5,17.3,16.8,13.4,8,3.8,2.6,-0.133333333,5.866666667,16.2,8.4,7.533333333
1956,0.2,-9.62,2.9,5.3,12.5,13.2,16.9,14.1,13.8,8.2,2.5,2,-2.273333333,6.9,14.73333333,8.166666667,6.831666667
1957,0.3,3.8,6.4,7.5,9.7,16.7,17.7,15.1,11.8,9.1,4.5,0.5,2.033333333,7.866666667,16.5,8.466666667,8.591666667
1958,-0.4,1.9,-0.3,5.2,13.3,14.5,16.9,16.9,14.5,9.3,4.3,2.4,0.666666667,6.066666667,16.1,9.366666667,8.208333333
1959,-0.1,-0.1,6.2,9.4,12.7,16.1,19.3,17.3,13.5,8.4,3.3,2.2,0.733333333,9.433333333,17.56666667,8.4,9.016666667
1960,-0.1,-0.1,6.2,7.4,12.8,16.2,15.4,15.8,12.5,9.1,6,1.2,0.666666667,8.8,15.8,9.2,8.533333333
1961,-0.8,4.4,6,10.6,10.3,16,15.1,15.7,16.3,10.5,3.7,-0.6,1.6,8.966666667,15.6,10.16666667,8.933333333
1962,1.7,0.3,0.2,8.2,9.7,14.2,15,15.8,12.3,8.9,2.7,-3.3,0.466666667,6.033333333,15,7.966666667,7.141666667
1963,-7.4,-5.7,2.4,8.4,12,15.8,17.7,15.9,13.7,8.1,7.4,-3.1,-5.466666667,7.6,16.46666667,9.733333333,7.1
1964,-2.6,0.6,0.6,8.6,13.6,16.9,18.1,15.9,13.6,7.1,4.9,0.4,-1.7,7.6,16.96666667,8.533333333,8.141666667
1965,1.2,-1.8,2.3,6.7,11.2,15.5,15,14.9,12.7,8.1,1.3,2.6,-0.066666667,6.733333333,15.13333333,7.366666667,7.475
1966,-2.7,3.5,3.3,8.6,13,16.9,15.6,15.5,13.2,11.1,2.2,2,1.133333333,8.3,16,8.833333333,8.516666667
1967,0.7,2.8,5.4,6.5,12.5,14.7,18.6,16.4,13.8,11.1,3.8,0.4,1.833333333,8.133333333,16.56666667,9.566666667,8.891666667
1968,-1.1,0.7,4.4,9,10.9,16,16.2,16.4,13.4,10.2,3.7,-2,-3.70074E-17,8.1,16.2,9.1,8.15
1969,0.4,-2.1,0.9,7,12.9,14.8,18.4,16.5,13.8,10,5.1,-4.7,-1.233333333,6.933333333,16.56666667,9.633333333,7.75
1970,-2.6,-1.1,1.2,5.3,11.4,17.2,16.1,16.8,13.2,8.9,5.8,0.5,-2.8,5.966666667,16.7,9.3,7.725
1971,-1.1,1.4,1,8.2,14,13.9,18,17.8,12,8.8,3.5,3.6,0.266666667,7.733333333,16.56666667,8.1,8.425
1972,-2.3,1.9,5.3,7.2,11.3,14.4,17.7,15.7,10.7,6.8,4.3,0.8,1.066666667,7.933333333,15.93333333,7.266666667,7.816666667
1973,0,1,3.9,5.1,12.5,16.1,17.2,17.7,14.1,7.3,3.3,0.2,0.6,7.166666667,17,8.233333333,8.2
1974,3.3,3.2,5.6,7.9,11,14.1,15.3,17.1,13.2,5.5,4.9,4.8,2.233333333,8.166666667,15.5,7.866666667,8.825
1975,4.5,1.4,3.6,6.8,11.8,14.7,18.2,18.8,15.5,7.5,3.1,1.2,3.566666667,7.4,17.23333333,8.7,8.925
1976,1.2,0.5,1.3,6.9,12.8,17.4,19.3,16.2,12.7,9.5,4.8,-1,0.966666667,7,17.63333333,9,8.466666667
1977,0.4,3,6.1,5.6,11.7,15.5,16.5,15.9,11.9,10.1,5.1,2.1,0.8,7.8,15.96666667,9.033333333,8.658333333
1978,0.7,-1.4,4.8,6.5,11.6,14.8,15.5,15.1,12.2,9.1,4.2,0.3,0.466666667,7.633333333,15.13333333,8.5,7.783333333
1979,-4.5,-1.8,3.7,6.3,12.4,16.5,15.3,15.5,13.1,8.6,3.7,3.8,-2,7.466666667,15.76666667,8.466666667,7.716666667
1980,-2.7,2.1,3.3,6,10.7,14.7,15.1,16.6,13.9,8,3,0.7,1.066666667,6.666666667,15.46666667,8.3,7.616666667
1981,-1.5,-0.4,6.8,7.8,13.2,15.3,16.3,16.4,14,8.1,4.6,-2.2,-0.4,9.266666667,16,8.9,8.2
1982,-2.3,-0.1,4.2,6.5,12.4,16.3,18.9,17.3,15.7,9.6,6,2.2,-1.533333333,7.7,17.5,10.43333333,8.891666667
1983,4,-1.7,4.5,8.6,11.3,16.3,20.4,18.1,13.7,9.2,3.5,0.7,1.5,8.133333333,18.26666667,8.8,9.05
1984,1.1,-0.3,2,6.8,10.8,13.7,15.9,17,12.3,10.2,4.9,1.2,0.5,6.533333333,15.53333333,9.133333333,7.966666667
1985,-5.5,-3.1,2.8,7.6,13.3,13.5,17.4,16.2,13.5,8.8,0.8,3.7,-2.466666667,7.9,15.7,7.7,7.416666667
1986,0.1,-6.4,3,6.3,14.1,15.9,17,16.3,11.3,9.6,5.8,2,-0.866666667,7.8,16.4,8.9,7.916666667
1987,-5.9,-0.3,-0.4,9.1,9.7,13.9,16.9,15.5,14.5,9.4,4.9,2.1,-1.4,6.133333333,15.43333333,9.6,7.45
1988,3.5,2.1,2.7,8,14.2,15,17,17,13.2,9.7,3,3.4,2.566666667,8.3,16.33333333,8.633333333,9.066666667
1989,2.5,3.4,6.98,7.2,13.8,15.3,17.7,17,14.4,10.4,2.7,2.4,3.1,9.326666667,16.66666667,9.166666667,9.481666667
1990,2.5,5.74,6.9,7.4,13.9,15.2,16.7,18.3,11.8,10.2,4.5,0.8,3.546666667,9.4,16.73333333,8.833333333,9.495
1991,1.5,-2.4,6.4,7.1,9.5,13.5,19.2,17.9,14.7,8.2,3.9,0.7,-0.033333333,7.666666667,16.86666667,8.933333333,8.35
1992,1,2.8,4.8,7.8,14.5,17.3,18.6,19.1,13.4,6.5,5.4,1.3,1.5,9.033333333,18.33333333,8.433333333,9.375
1993,2.5,-0.7,3.6,10.4,14.6,15.6,16.1,15.8,12.2,7.8,0.4,3.2,1.033333333,9.533333333,15.83333333,6.8,8.458333333
1994,3,-0.2,6.3,7.9,12.6,15.9,21.3,17.8,13.2,7.6,7.2,3.6,2,8.933333333,18.33333333,9.333333333,9.683333333
1995,0.2,4.6,3.1,8.5,12.2,14.3,20.1,18.3,12.6,11.8,3,-1.8,2.8,7.933333333,17.56666667,9.133333333,8.908333333
1996,-2.8,-2.2,1,8.4,11.2,15.6,15.9,17.1,10.9,9.2,4.5,-2.4,-2.266666667,6.866666667,16.2,8.2,7.2
1997,-2.6,4.1,5.8,6.4,12.7,15.8,17.1,19.8,13.7,7.7,4,2.2,-0.3,8.3,17.56666667,8.466666667,8.891666667
1998,2.4,4.3,5,8.8,14,16.5,16.4,16.7,13.3,8.7,1.6,1,2.966666667,9.266666667,16.53333333,7.866666667,9.058333333
1999,2.6,0.4,5.4,8.9,13.8,15.2,19,17.2,16.8,9,3.5,2.2,1.333333333,9.366666667,17.13333333,9.766666667,9.5
2000,1.1,3.9,5.2,10.1,14.6,17,15.3,17.6,13.9,10.6,6.1,3.1,2.4,9.966666667,16.63333333,10.2,9.875
2001,0.9,2.3,4.2,7.1,14.4,14.3,18.6,18.6,11.8,12.48,3.8,-0.2,2.1,8.566666667,17.16666667,9.36,9.023333333
2002,1.2,5,5.4,8.1,13.8,17.4,17.7,18.8,13.1,8.3,5.6,0.3,2,9.1,17.96666667,9,9.558333333
2003,-0.3,-1.9,5.3,8.5,14.1,19.35,19.1,20.6,13.8,5.9,6,1.8,-0.633333333,9.3,19.68333333,8.566666667,9.354166667
2004,-0.1,2.4,4.1,9.3,11.6,15.3,16.8,18.4,14,10.1,4.2,1.1,1.366666667,8.333333333,16.83333333,9.433333333,8.933333333
2005,2,-1,3.6,9.3,12.8,16.4,18,15.8,15,11,4.2,0.9,0.7,8.566666667,16.73333333,10.06666667,9
2006,-2.6,-0.4,1.5,8,13.1,16.8,21.99,15.5,16.9,12.1,7,4.4,-0.7,7.533333333,18.09666667,12,9.524166667
2007,4.76,3.9,6.2,11.5,14.2,17.4,17.2,16.9,12.6,8.3,3.7,1.6,4.353333333,10.63333333,17.16666667,8.2,9.855
2008,3.6,3.7,4.2,7.6,14.5,16.9,18,17.4,12.4,9.1,5.1,1.1,2.966666667,8.766666667,17.43333333,8.866666667,9.466666667
2009,-2.2,0.5,4.3,11.8,13.6,14.8,18,18.7,14.7,8.2,7.4,0.3,-0.2,9.9,17.16666667,10.1,9.175
2010,-3.6,-0.5,4.2,8.7,10.4,16.3,20.3,16.7,12.4,8.1,4.8,-3.7,-1.266666667,7.766666667,17.76666667,8.433333333,7.841666667
2011,1,0.9,4.9,11.6,13.9,16.5,16.1,17.7,15.2,9.4,4.5,3.9,-0.6,10.13333333,16.76666667,9.7,9.633333333
2012,1.9,-2.5,6.9,8.1,14.2,15.5,17.4,18.4,13.6,8.7,5.2,1.5,1.1,9.733333333,17.1,9.166666667,9.075
2013,0.2,-0.7,0.1,8.1,11.8,15.7,19.5,17.9,13.3,10.6,4.6,3.6,0.333333333,6.666666667,17.7,9.5,8.725
2014,2.1,4.3,6.9,10.8,12.4,16.1,19.3,16,14.9,11.9,6.5,2.7,3.333333333,10.03333333,17.13333333,11.1,10.325
2015,2.2,0.7,5.2,8.4,12.3,15.8,19.4,19.9,13,8.4,7.5,6.5,1.866666667,8.633333333,18.36666667,9.633333333,9.941666667
2016,1,3.3,4,7.9,13.7,17,18.6,17.7,16.9,8.5,3.8,2.2,3.6,8.533333333,17.76666667,9.733333333,9.55
2017,-2.2,2.9,7.2,7.4,14.1,17.8,18.1,17.9,12.8,11.1,5.1,2.7,0.966666667,9.566666667,17.93333333,9.666666667,9.575
2018,3.7,-1.9,2.4,12.3,16,17.7,20.3,19.9,15.1,10.7,5.2,3.9,1.5,10.23333333,19.3,10.33333333,10.44166667
